,COMPLAINT ID,COMPLAINT TYPE,ADDRESS,Neighborhood,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION,Community Area Number,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
120,DOECOMP16149,Air Pollution Work Order,"3327 N HARDING AVE, CHICAGO, IL",Avondale,3327,,N,HARDING,AVE,85,04/12/2010,RESIDENTIAL BLDG.                   CALLER STATES THAT AT ABOVE LOCATION DURING DEMO CAUSING DUST ALL OVER THE AREA. DEMO COMPLETED OBSERVED NO DUST AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,21.0,6.0,15.3,9.2,24.7,31.0,20039,42.0
121,DOECOMP37630,Air Pollution Work Order,"3241 N LAWNDALE AVE, CHICAGO, IL",Avondale,3241,,N,LAWNDALE,AVE,120,06/01/2010,RESIDENTIAL BLDG.                   THE NEXT DOOR NEIGHBOR KEEPS BURNING WOOD IN A HOLE HE MADE IN GROUND LOTS OF SMOKE. FOUND LEGAL IN GROUND FIRE PIT SURROUNDED BY CEMENT PAVERS WITH GRILL ON TOP.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,21.0,6.0,15.3,9.2,24.7,31.0,20039,42.0
122,DOECOMP18901,Air Pollution Work Order,"3721 N PARKVIEW TER, CHICAGO, IL",Avondale,3721,,N,PARKVIEW,TER,120,09/16/2010,CONSTRUCTION SITE                   SITE CLEANLINESS FENCE IS DOWN.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,21.0,6.0,15.3,9.2,24.7,31.0,20039,42.0
123,DOECOMP3411,Air Pollution Work Order,"1255 W BRYN MAWR AVE, CHICAGO, IL",Edgewater,1255,,W,BRYN MAWR,AVE,137,07/16/2010,PRIME GROUP MASONRY                 MASONRY WORK BEING DONE DUST BEING EMITTED INTO AIR. OBSERVED MASONRY WORKERS REPAIRING STEEL BEAM OF BUILDING WINDOW SEAL. MINIMAL DEBRIS WAS OBSERVED. BRICK MORTAR DEBRIS WAS CONFINED TO CONSTRUCTION AREA SMALL TARP WAS USED FOR DUST MINIMIZATION CONTROL. NO EXCESIVE DEBRIS WAS OBSERVED SIDEWALK. NO GRINDING OR CUTTING WAS OBSERVED DURING THE INSPECTION. INFORMED SITE CREW TO CLEANLINESS AS NEEDED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
124,DOECOMP28586,Air Pollution Work Order,"6170 N CLARK ST, CHICAGO, IL",Edgewater,6170,,N,CLARK,ST,9,06/08/2010,CHICAGO AUTO REPAIR                 PAINT FUMES COMING FROM FACILITY FROM 8 AM - 6 PM ON MON THUR FRI. OBSERVED THREE FACILITY'S AT THIS TIME OBSERVED NO PAINT FUMES.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
125,DOECOMP39218,Air Pollution Work Order,"6249 N CLARK ST, CHICAGO, IL",Edgewater,6249,,N,CLARK,ST,14,07/27/2010,"SPRING AUTO SERVICE & HAND CAR      STORAGE OF JUNK VEHICLES IN THE REAR LOT 4, NUMEROUS USED TIRES, AND SEVERAL EMPTY 55 GAL TANKS IN THE LOT. SPOKE WITH MANAGER HE SHOW MAT A BUSINESS LICENSE. IN THE REAR WAS 6 STEEL DRUMS.  HE WILL REMOVED THE DRUMS AND CLEAN UP THE SHOP.",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
126,DOECOMP28873,Air Pollution Work Order,"6325 N SHERIDAN RD, CHICAGO, IL",Edgewater,6325,,N,SHERIDAN,RD,120,01/20/2010,WORKERS ARE SWING STAGE WITH NO MESH. UPON ARRIVAL I OBSERVED A GREEN MESHING AROUND THE ENTIRE SWING STAGE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
127,DOECOMP39557,Air Pollution Work Order,"6145 N SHERIDAN RD, CHICAGO, IL",Edgewater,6145,,N,SHERIDAN,RD,137,05/03/2010,ZEPA CONSTRUCTION                   STRIPPING CONCRETE PILLARS CAUSING DUST WHICH IS COMING THRU THE VENTILATION SYSTEM. INTERIOR RENOVATIONS OBSERVED. NO DUST OR DEBRIS OBSERVED. INFORMED MANAGER OF NOISE ORDINANCE AND DUST CONTROL REQUIREMENT. FOLLOW UP INSPECTION PENDING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
128,DOECOMP28620,Air Pollution Work Order,"6171 N SHERIDAN RD, CHICAGO, IL",Edgewater,6171,,N,SHERIDAN,RD,135,08/18/2010,RESIDENTIAL BLDG                    WORK BEING DONE AT BLDG IS CREATING DUST/DEBRIS AT THE ADJACENT PROPERTY ALSO MAY BE VIOLATIONS CONST SITE CLEANLINESS. OBSERVED NO DUST AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,77.0,4.1,18.2,9.2,9.7,23.8,33385,19.0
129,DOECOMP30671,Air Pollution Work Order,"717 S CALIFORNIA AVE, CHICAGO, IL",Near West Side,717,,S,CALIFORNIA,AVE,81,09/15/2010,VACANT BLDG.                        WORK ON BUILDING CAUSING TOO MUCH DUST. THIS INVESTIGATION DETECTED NO DUST EMISSIONS OR WORK ACTIVITY. NO SIGNS OF BUILDING PERMITS WAS OBSERVED. POSTED MADE A DIRECT REFERRAL OVER TO THE CITY'S BLDG DEPT TO ENSURE COMPLIANCE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,28.0,3.8,20.6,10.7,9.6,22.2,44689,15.0
